PK_Nr,Sortierklasse,A_cm2,sigma_max,E_mod,n_points,a_hat,k_hat,rmse,method,force_col_header,strain_col_header,QC_flag,grade,density_kg_m3,moisture_pct,failure_mode,grain_angle_class,clamping_pressure,grade_m,outlier_ahat
485,s 10,5.071234,41.21803659498852,13.29993877440274,2321,0.5561011908065074,7.222414917976799,0.075219033064049,sigmoid,Kraft [kN],e_sensor,1,S10,378.9677571394252,11.04183099967221,Zug-/Schubversagen an Ästen,<7,80 bar,S10,0
488,s 10,5.200348,29.94596580063008,10.516632067910752,1547,0.6084094205058451,10.46392230575428,0.0873152790408167,sigmoid,Kraft [kN],e_sensor,1,S10,382.85824441086646,11.452613934416428,Einspannung,<7,80 bar,S10,0
492,s 10,5.112588000000001,36.56288685153194,12.557561448929528,1927,0.5711837805148674,8.16483112567298,0.0854236951311283,sigmoid,Kraft [kN],e_sensor,1,S10,473.66901056953475,11.346350952231372,Zug-/Schubversagen im Einspannbereich,<7,100 bar,S10,0
505,s 10,5.130719999999999,37.1704158663404,12.245647216141878,1886,0.5683308578808289,8.054444881824814,0.0849851760025385,sigmoid,Kraft [kN],e_sensor,1,S10,445.63305279769776,11.432208364733137,Einspannung,<7,00 bar,S10,0
507,s 10,5.016544,28.61000708356191,10.44463833280354,1395,0.6303802656279578,12.529838313518994,0.0880778780063484,sigmoid,Kraft [kN],e_sensor,1,S10,378.2634412521637,10.797776447305246,Splitternder Bruch,<7,80 bar,S10,0
508,s 10,5.09733,23.842330506853585,9.5635093534415,1330,0.6949102679326489,19.442348840975605,0.0822118357533566,sigmoid,Kraft [kN],e_sensor,1,S10,398.49811196369257,10.766840910709195,Zug-/Schubversagen an Ästen,<7,80 bar,S10,0
513,s 10,4.9698,62.16518867710974,19.53847764683187,3639,0.522969484675274,5.8804888280405,0.0594114248329776,sigmoid,Kraft [kN],e_sensor,1,S10,474.05323809013817,10.837234740863046,Zug-/Schubversagen im Einspannbereich,<7,00 bar,S10,0
523,s 10,5.052063,23.07803167178933,9.174151847308714,1134,0.710406335228216,27.052450554955623,0.0838211569319869,sigmoid,Kraft [kN],e_sensor,1,S10,376.66653842010777,11.655763493641563,Zug-/Schubversagen an Ästen,<7,80 bar,S10,0
525,s 10,5.082336000000001,47.606365059049615,10.741382459197355,2368,0.5395338974617144,6.690504113933321,0.0761692139776444,sigmoid,Kraft [kN],e_sensor,1,S10,420.4442503206102,10.597971842213493,Zug-/Schubversagen,<7,80 bar,S10,0
532,s 10,5.09544,48.2446759381918,11.341246721716203,2413,0.5381689084486445,6.634809649710681,0.0759379481129859,sigmoid,Kraft [kN],e_sensor,1,S10,410.49240306670333,11.662476042086345,Zug-/Schubversagen,<7,80 bar,S10,0
