sequence,n_events,a_hat,k,R2,max_mag,max_mag_pos,total_energy_log
seq_223,10,0.313910559079537,7.005351792826537,0.9579314116666091,3.25,0.3333333333333333,10.214439611606196
seq_224,21,0.25844606217988453,12.887388179382432,0.9129655477732341,6.0,0.35,13.991584487803998
seq_225,8,0.2842203377602118,12.461982720316247,0.9924581075063972,3.35,0.42857142857142855,10.233670329407051
seq_226,20,0.3947889363934196,12.976237842277504,0.9187546512980784,4.32,0.47368421052631576,11.460928216190515
seq_227,8,0.4013527546889659,6.96618376337147,0.9645538304276696,4.6,0.0,12.290063378206646
seq_228,30,0.018998647245872257,99.99999999999999,0.9503870373212189,4.87,0.034482758620689655,12.151657575099325
seq_229,10,0.6297690151229671,5.677065187400836,0.931728265635972,4.9,0.0,12.682376637029336
seq_230,19,0.534132233598011,13.835363664818994,0.9526108003289742,4.0,0.6111111111111112,11.004799628764763
seq_231,8,0.4789017857719928,3.244296841262818,0.8240739448490624,4.6,0.14285714285714285,12.205570203186378
seq_232,8,0.7486919225446873,28.47364590716908,0.9484419901135523,5.4,0.8571428571428571,13.039761770181595
seq_233,12,0.2376598052849199,99.99999999909367,0.9987527445933055,4.54,0.2727272727272727,11.632926416149841
seq_234,11,0.6799179177182958,8.192375202985556,0.9090681463289071,5.2,0.0,13.051272162985503
seq_235,8,0.3200625966081291,28.563146530650116,0.9969502889917069,3.87,0.42857142857142855,10.794972296383518
seq_236,8,0.30586213613843943,8.282516187269668,0.9687156552381585,4.7,0.42857142857142855,12.22968850352756
seq_237,8,0.3314075119434415,4.895403710115283,0.9269193570617074,5.3,0.0,12.959213545184683
seq_238,8,0.3515681570047941,34.319177773977934,0.9926590651077298,5.8,0.42857142857142855,13.744406969764979
seq_239,37,0.513813307555408,99.99999999999999,0.9917743935255489,5.51,0.5277777777777778,13.07463486604608
seq_240,9,0.09457784554690926,58.50984181493026,0.9072455386759906,5.9,0.125,13.76173246409993
